%Standard Solar Model (BP2000)
%
%astro-ph/0010346
%
%Columns in the Standard Model table (below) represent:
%
%1)  Mass fraction in units of the solar mass
%2)  Radius of the zone in units of one solar radius
%3)  Temperature in units of deg (K)
%4)  Density in units of g/cm^3
%5)  Pressure in units of dyn/cm^2
%6)  Luminosity fraction in units of the solar luminosity
%7)  X(^1H): the hydrogen mass fraction
%8)  X(^4He): the helium 4 mass fraction
%9)  X(^3He): the helium 3 mass fraction
%10) X(^12C): the carbon 12 mass fraction
%11) X(^14N): the nitrogen 14 mass fraction
%12) X(^16O): the oxygen 16 mass fraction
%
%The Table begins here.
%
%
M/Msun    R/Rsun      T         Rho        P        L/Lsun     X       Y        He3       C12       N14       O16 
0.0000298  0.00650  1.568e+07  1.524e+02  2.336e+17  0.00027  0.33973  0.64046  7.44e-06  2.40e-05  5.45e-03  8.67e-03
0.0000312  0.00661  1.568e+07  1.524e+02  2.335e+17  0.00028  0.33977  0.64042  7.44e-06  2.40e-05  5.45e-03  8.67e-03
0.0000327  0.00671  1.568e+07  1.524e+02  2.335e+17  0.00029  0.33981  0.64038  7.45e-06  2.40e-05  5.45e-03  8.67e-03
0.0000342  0.00681  1.568e+07  1.524e+02  2.335e+17  0.00031  0.33986  0.64033  7.45e-06  2.40e-05  5.45e-03  8.67e-03
0.0000358  0.00692  1.568e+07  1.524e+02  2.335e+17  0.00032  0.33991  0.64028  7.45e-06  2.40e-05  5.45e-03  8.67e-03
0.0000375  0.00702  1.568e+07  1.524e+02  2.334e+17  0.00033  0.33995  0.64024  7.46e-06  2.40e-05  5.45e-03  8.67e-03
0.0000393  0.00713  1.568e+07  1.523e+02  2.334e+17  0.00035  0.34000  0.64019  7.46e-06  2.40e-05  5.45e-03  8.67e-03
0.0000411  0.00724  1.568e+07  1.523e+02  2.334e+17  0.00037  0.34005  0.64014  7.46e-06  2.40e-05  5.45e-03  8.67e-03
0.0000431  0.00735  1.568e+07  1.523e+02  2.334e+17  0.00038  0.34011  0.64008  7.47e-06  2.40e-05  5.45e-03  8.67e-03
0.0000451  0.00747  1.568e+07  1.523e+02  2.333e+17  0.00040  0.34016  0.64003  7.47e-06  2.40e-05  5.45e-03  8.67e-03
