M R T rho P L hydrogen tritium carbonium nitrum oxygen
0.0000298 0.00646 1.583e+07 1.559e+02 2.395e+17 0.00027 0.33330 7.04e-06 2.42e-05 5.93e-03 9.48e-03
0.0000358 0.00687 1.583e+07 1.558e+02 2.394e+17 0.00032 0.33348 7.06e-06 2.42e-05 5.93e-03 9.48e-03
0.0000431 0.00730 1.582e+07 1.557e+02 2.393e+17 0.00039 0.33368 7.07e-06 2.42e-05 5.92e-03 9.48e-03
0.0000518 0.00776 1.582e+07 1.556e+02 2.392e+17 0.00047 0.33391 7.08e-06 2.41e-05 5.92e-03 9.48e-03
0.0000622 0.00826 1.582e+07 1.555e+02 2.391e+17 0.00056 0.33417 7.10e-06 2.41e-05 5.92e-03 9.49e-03
0.0000748 0.00878 1.582e+07 1.554e+02 2.389e+17 0.00068 0.33447 7.12e-06 2.41e-05 5.92e-03 9.49e-03
0.0000899 0.00934 1.581e+07 1.553e+02 2.388e+17 0.00081 0.33481 7.15e-06 2.41e-05 5.92e-03 9.49e-03
0.0001081 0.00993 1.581e+07 1.552e+02 2.386e+17 0.00098 0.33519 7.17e-06 2.41e-05 5.91e-03 9.49e-03
0.0001300 0.01056 1.580e+07 1.550e+02 2.384e+17 0.00118 0.33561 7.20e-06 2.40e-05 5.91e-03 9.50e-03
0.0001563 0.01123 1.580e+07 1.548e+02 2.381e+17 0.00141 0.33610 7.23e-06 2.40e-05 5.90e-03 9.50e-03
0.0001879 0.01195 1.579e+07 1.545e+02 2.379e+17 0.00170 0.33664 7.27e-06 2.40e-05 5.90e-03 9.50e-03
0.0002259 0.01271 1.578e+07 1.544e+02 2.376e+17 0.00204 0.33726 7.31e-06 2.39e-05 5.90e-03 9.51e-03
0.0002716 0.01352 1.578e+07 1.541e+02 2.372e+17 0.00245 0.33796 7.36e-06 2.39e-05 5.89e-03 9.52e-03
0.0003266 0.01438 1.577e+07 1.538e+02 2.368e+17 0.00294 0.33875 7.42e-06 2.38e-05 5.88e-03 9.52e-03
0.0003926 0.01529 1.576e+07 1.535e+02 2.364e+17 0.00353 0.33964 7.48e-06 2.38e-05 5.88e-03 9.53e-03
0.0004721 0.01627 1.575e+07 1.531e+02 2.359e+17 0.00424 0.34064 7.55e-06 2.37e-05 5.87e-03 9.54e-03
0.0005675 0.01731 1.574e+07 1.527e+02 2.353e+17 0.00509 0.34177 7.63e-06 2.36e-05 5.86e-03 9.54e-03
0.0006823 0.01842 1.572e+07 1.522e+02 2.347e+17 0.00610 0.34305 7.72e-06 2.35e-05 5.85e-03 9.55e-03
0.0008204 0.01960 1.571e+07 1.517e+02 2.340e+17 0.00732 0.34449 7.83e-06 2.35e-05 5.84e-03 9.56e-03
0.0009863 0.02086 1.569e+07 1.511e+02 2.332e+17 0.00877 0.34611 7.95e-06 2.34e-05 5.83e-03 9.58e-03
0.0011858 0.02220 1.567e+07 1.504e+02 2.323e+17 0.01052 0.34794 8.08e-06 2.32e-05 5.81e-03 9.59e-03
0.0014256 0.02363 1.564e+07 1.497e+02 2.313e+17 0.01260 0.35000 8.24e-06 2.31e-05 5.80e-03 9.60e-03
0.0017140 0.02515 1.562e+07 1.488e+02 2.301e+17 0.01509 0.35231 8.42e-06 2.30e-05 5.79e-03 9.62e-03
0.0020606 0.02678 1.559e+07 1.479e+02 2.289e+17 0.01806 0.35492 8.62e-06 2.28e-05 5.77e-03 9.63e-03
0.0024774 0.02852 1.555e+07 1.468e+02 2.274e+17 0.02160 0.35785 8.86e-06 2.27e-05 5.75e-03 9.65e-03
0.0029785 0.03037 1.552e+07 1.456e+02 2.258e+17 0.02582 0.36115 9.13e-06 2.25e-05 5.73e-03 9.67e-03
0.0035810 0.03236 1.548e+07 1.443e+02 2.240e+17 0.03084 0.36484 9.44e-06 2.23e-05 5.70e-03 9.69e-03
